Line,Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
095,95,SFU/BURRARD STN (B-LINE),Burnaby/New Westminster,Artic. Bus,All Day Frequent," 80,000 "," 136,000 ",400m, 17.8 , Data reflects former 135 route up to Dec 2016 ,- Winter 2016: Introduce new 5-15 min B-Line service with limited stops along former 135 route,"- Winter 2017: Extend one morning trip to SFU to close gap with N35 (all days); Increase service 07:00-09:00 from 5-6 to 4.5-5 min, 16:00-19:00 from 7.5-12 to 6-8.5 min, and 19:00-23:00 from 15 to 12 min (M-F); Increase service 16:00-25:00 from 12-20 to 10-15 min (Sat); Increase service 09:00-14:00 from 15 to 12 min (S/H); Introduce all-door boarding (all days)",Summer 2019: Increase service 14:00-21:00 from every 15 to 12 mins and 21:00-22:00 from every 20 to 15 mins (S/H),0,0,0,0,0,0
096,96,GUILDFORD EXCH/NEWTON EXCH (B-LINE),Southeast,Artic. Bus,All Day Frequent," 60,000 "," 29,000 ",400m, 10.8 ,,- Winter 2017: Introduce all-door boarding,0,0,0,0,0,0,0,0
099,99,COMMERCIAL-BROADWAY STN/UBC (B-LINE),Vancouver/UBC,Artic. Bus,All Day Frequent," 90,000 "," 66,000 ",400m, 14.1 ,,"- Winter 2017: Increase service 07:00-11:00 from every 6-12 to 5.5-10 min, 15:00-19:00 from every 6-7.5 to 5.5-7 min, and 22:00-23:00 from every 10 to 8.5 min (Sat); Increase service 07:00-11:00 from every 7.5-15 to 7.5-12 min and 13:00-19:00 from every 10 to 8.5 min (S/H)",Fall 2019: Increase service 17:00-20:00 from every 6-8 to 5-6 mins (Sat),0,0,0,0,0,0,0
100,100,22ND ST STN/MARPOLE,Vancouver/UBC,Std. Bus,All Day Frequent," 52,000 "," 16,000 ",400m, 15.4 ,,- Summer 2015: Increase service during a.m./p.m. peaks from every 12 to 10 min (M-F),"- Fall 2018, Increase service during a.m./p.m. peaks from every 9 to 7 min (M-F)",Summer 2019: Extend all morning trips between Marine Drive Station and 22nd Street Station (M-F); Increase service 7:00-19:00 from every 15 to 12 mins (Sat); Extend service to 22nd Street between 18:30-21:00 (S/H),Fall 2019: Introduce battery electric bus trial on route,0,0,0,0,0
101,101,LOUGHEED STN/22ND ST STN,Burnaby/New Westminster,Std. Bus,Standard," 71,000 "," 18,000 ",400m, 11.3 ,,Summer 2019: Extend all trips from Lougheed Town Centre Station to 22nd Street Station (M-F); Increase service 05:30-07:00 from every 30 to 20 mins (M-F),0,0,0,0,0,0,0,0
103,103,QUAYSIDE/VICTORIA HILL,Burnaby/New Westminster,Mini-Bus,All Day Frequent," 23,000 "," 7,000 ",400m, 4.2 , Data reflects service redesign in Apr 2016; Previously both C3 and C8 ,- Spring 2016: Discontinue C8 (Quayside) and merge with C3; Revise eastern terminus to Victoria Hill,- Spring 2016: Increase service during a.m./p.m. peak  from every 15 to 12 min btw New West Stn and Victoria Hill (M-F); Increase service 07:00-21:00 (Sat) and 08:00-20:00 (S/H) from every 30 to 15 min btw New West Stn and Victoria Hill,- Spring 2016: Discontinue service btw New West Stn and Quayside after 21:00 (all days),- Spring 2017: Extend 30-min service until 24:00 (all days),- Winter 2017: Operate route by CMBC from contractor (all days),- Spring 2018: Increase service during a.m./p.m. peaks from every 12 to 10 min (M-F),- Fall 2018: Change route name from C3 to 103,,0
104,104,22ND ST STN/ANNACIS ISLAND,Southeast,Std. Bus,Peak Frequent," 11,000 "," 13,000 ",400m, 10.5 ,,- Spring 2016: Add one bus during a.m./p.m. peaks for Pattullo Bridge Rehabilitation (M-F),- Fall 2016: Return to regular service levels after Pattullo Bridge Rehabilitation (remove one bus during a.m./p.m. peaks M-F),- Fall 2018: Extend service in Queensborough until 25:00 from of 20:00 (all days),Summer 2019: Increase service 14:00-15:00 from 15 to 12 mins (M-F),0,0,0,0,0
105,105,UPTOWN/NEW WEST STN,Burnaby/New Westminster,Mini-Bus,Standard," 33,000 "," 12,000 ",400m, 6.5 ,,"- Spring 2016: Revise route to connect to Royal Square via 2nd St, 6th Ave, Cumberland St, and 8th Ave (all days)",- Spring 2017: Extend 30-min service until 24:00 (all days),- Winter 2017: Operate route by CMBC from contractor (all days),- Fall 2018: Change route name from C4 to 105 (all days),0,0,0,0,0
106,106,NEW WEST STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,All Day Frequent," 51,000 "," 14,000 ",400m, 11.5 , Data reflects split with 119 in Dec 2017 ,"- Winter 2017: Split 106 at Edmonds Station, this route serves Edmonds Station to New Westminster Station (rest served by 119; all days)",0,0,0,0,0,0,0,0
109,109,NEW WEST STN/LOUGHEED STN,Burnaby/New Westminster,Mini-Bus,Basic," 41,000 "," 19,000 ",400m, 7.2 ,,- Spring 2016: Reroute southbound C9 service via Richmond St and Jamieson Ct (all days),- Fall 2016: Temporary reroute to provide coverage on Richmond and Cumberland St until bus-only turn signal is active (all days),- Spring 2017: Reroute via Cumberland from Columbia (all days),- Fall 2018: Change route name from C9 to 109 (all days),0,0,0,0,0
